Metabolite_name,blank_01,blank_02,blank_03,blank_04,Cultures_QC_01,Cultures_QC_02,POS_BDS_EC_IPLs,POS_Cultures_Pooled_QC_01,POS_Cultures_Pooled_QC_02,POS_Cultures_Pooled_QC_03,POS_Cultures_Pooled_QC_04,POS_Cultures_Pooled_QC_05,POS_Cultures_Pooled_QC_06,POS_u_DA_IPLs,POS_u_EC_IPLs,POS_u_H_IPLs,POS_u_S_IPLs,POS_u2_EC_IPLs,POS_u2_y_IPLs
Unknown,0,0,52,0,1178,2317,98,1640,2105,2202,1719,74,2328,0,76,475,48913,0,98
w/o MS2:SPB 20:0;3O,112,126,57,0,1277,2012,0,1554,1755,2357,2242,0,1550,53,0,52,55,68,11074
Unknown,0,0,0,0,2125,1924,0,1994,2426,1761,1978,0,1809,51,0,0,10385,0,103
Unknown,0,0,0,0,35501,28715,0,25814,26044,27383,30479,69,27234,0,50311,1691,219,26299,71361
Unknown,0,56,77,0,2652,2367,180,2614,2934,2542,2345,98,3219,114,271,80,13938,284,0
Unknown,57,61,73,0,4418,4206,56,3976,4170,4002,3640,0,3571,0,187,86,18798,68,295
Unknown,87,86,135,0,13764,16198,114,15144,15961,17395,16271,397,15755,537,27609,29032,17890,26470,26141
Unknown,81,70,61,0,27604,27037,146,25584,24390,28234,27399,163,26386,1528,10656,9593,6110,11184,9789
Unknown,81,135,82,0,1200,1350,96,2489,1953,1690,1277,0,1063,5506,1592,464,155,1313,626
w/o MS2:NAGly 18:3,61,0,68,0,12675,15456,411,13018,12935,14003,14514,0,14578,91,143,1294,72380,96,213
Unknown,59,0,0,0,135,128,11151,89,29,110,52,0,67,55,95,0,99,0,0
Unknown,89,73,97,0,1494,1003,220,1212,972,1054,1022,0,908,0,7282,66,73,7733,0
w/o MS2:Cer 12:1;2O/9:0;O,173,328,53,0,29708,3885,10872,6357,4933,5240,4408,4502,3859,8786,9916,15845,12442,5341,14620
w/o MS2:Cer 12:1;2O/9:0;O,168,315,128,0,29708,3868,7388,5133,5048,4915,3525,4457,4300,6335,13933,16925,12618,9719,19669
Unknown,169,162,122,0,4565,5648,3516,5242,4492,4655,4952,78,4595,295,227,185,1680,185,311
w/o MS2:RIKEN P-VS1 ID-1950 from Mouse_Macrophage_WT_N_F1AA,0,66,57,0,16248,18731,0,17671,18350,16459,18446,67,18911,1595,16975,16946,15410,16257,16031
Unknown,0,58,0,0,9443,8712,52,9190,10439,10490,10238,51,9533,0,68,455,5606,496,19389
Unknown,512,585,565,0,2549,2321,7540,1963,2280,1975,1844,60,1894,628,2302,561,608,1985,667
w/o MS2:NATau 15:1,51,0,0,0,2053,1659,0,1751,1920,1894,2154,0,1985,0,132,77,15416,0,74
Unknown,60,0,56,0,2633,1661,80,1875,1648,1869,1667,60,1732,0,115,82,11843,55,74
w/o MS2:NATau 15:0,0,0,75,0,6276,8180,136,7127,6362,7016,8110,51,7674,56,93,93,29565,0,59
w/o MS2:ST 27:2;O,90,60,56,0,2485,1984,57,2161,2401,1993,2583,0,2692,0,0,721,13525,0,0
Unknown,62,126,92,0,2179,2185,82,2056,2234,2233,2278,0,2547,60,97,99,9090,0,78
Unknown,73,0,0,0,721,890,64,763,764,492,596,0,852,0,55,0,7454,53,0
Unknown,0,0,0,0,14834,16641,0,16109,17004,17975,17686,0,17482,0,60,0,0,0,0
MG 18:0,0,0,0,0,8309,10156,0,9519,8410,8486,10256,76,9342,1865,8026,8465,8124,7960,8571
Unknown,64,163,150,0,10372,10335,7695,8927,8425,8493,8880,62,9044,515,718,340,3683,1015,471
w/o MS2:NAGly 20:4,68,0,0,0,1604,1550,7139,1547,1770,1696,1848,58,1493,0,115,258,319,76,0
Unknown,52,98,86,0,5613,5542,51,4465,5576,5819,5802,100,5704,64,61,16654,1971,151,59
Unknown,291,76,191,0,81656,93444,87,87376,84688,87047,92257,2051,95794,32291,98711,94763,77138,91411,88335
